date,number_of_strikes,center_point_geom
2016-01-09,35,POINT(-92.1 28.5)
2016-01-09,29,POINT(-94 29)
2016-01-09,80,POINT(-93.9 29.3)
2016-01-09,44,POINT(-92.6 30.6)
2016-01-09,44,POINT(-95.2 30.9)
2016-01-09,50,POINT(-93 30.4)
2016-01-09,30,POINT(-92.5 29.6)
2016-01-09,42,POINT(-94 30.6)
2016-01-09,24,POINT(-93.4 29.1)
2016-01-09,54,POINT(-93.8 29.4)
2016-01-09,30,POINT(-94.4 30.7)
2016-01-09,40,POINT(-93.6 29.2)
2016-01-09,26,POINT(-91.8 28.7)
2016-01-09,40,POINT(-91.4 28.6)
2016-01-09,24,POINT(-93.8 30.2)
2016-01-09,53,POINT(-92.5 29.7)
2016-01-09,32,POINT(-94.5 31.2)
2016-01-09,37,POINT(-91.9 28.7)
2016-01-09,47,POINT(-83.9 27.4)
2016-01-09,54,POINT(-94.5 29.2)
2016-01-09,56,POINT(-94.6 29.2)
2016-01-09,25,POINT(-94.5 31.5)
2016-01-09,30,POINT(-90.7 33.7)
2016-01-09,51,POINT(-94.4 30.2)
2016-01-09,43,POINT(-84.1 26.5)
2016-01-09,37,POINT(-94.8 29.9)
2016-01-09,36,POINT(-93.5 30.5)
2016-01-09,31,POINT(-93.7 32.3)
2016-01-09,47,POINT(-93 30.8)
2016-01-09,25,POINT(-91.9 30.1)
2016-01-09,39,POINT(-93 29.7)
2016-01-09,29,POINT(-93.6 29)
2016-01-09,28,POINT(-91.1 33.5)
2016-01-09,34,POINT(-91.6 28.6)
2016-01-09,27,POINT(-91.5 28.2)
2016-01-09,29,POINT(-91.1 28.7)
2016-01-09,27,POINT(-92.7 28.6)
2016-01-09,55,POINT(-92.8 29.5)
2016-01-09,105,POINT(-93.7 29.3)
2016-01-09,30,POINT(-92.1 29.5)
2016-01-09,28,POINT(-92.6 29.4)
2016-01-09,27,POINT(-89.4 28.4)
2016-01-09,37,POINT(-93.5 29.1)
2016-01-09,37,POINT(-94 29.7)
2016-01-09,39,POINT(-93.5 30.2)
2016-01-09,34,POINT(-93.2 28.5)
2016-01-09,47,POINT(-87.4 28.3)
2016-01-09,28,POINT(-94.1 29.4)
2016-01-09,59,POINT(-93.1 30.8)
2016-01-09,25,POINT(-94.5 30.6)
2016-01-09,25,POINT(-92.5 29.9)
2016-01-09,28,POINT(-88.7 28.4)
2016-01-09,123,POINT(-93.6 28.9)
2016-01-09,26,POINT(-92.4 29.9)
2016-01-09,64,POINT(-94.6 29.1)
2016-01-09,31,POINT(-89.2 28.4)
2016-01-09,30,POINT(-85.4 26.4)
2016-01-09,34,POINT(-93.7 30)
2016-01-09,32,POINT(-82.9 26.6)
2016-01-09,34,POINT(-94.7 31)
2016-01-09,29,POINT(-84.9 25.9)
2016-01-09,26,POINT(-94.2 32)
2016-01-09,49,POINT(-94.7 30.1)
2016-01-09,43,POINT(-92.3 28.7)
2016-01-09,39,POINT(-84.3 27.4)
2016-01-09,42,POINT(-95.1 30.9)
2016-01-09,25,POINT(-93.1 33.9)
2016-01-09,35,POINT(-91.7 30.3)
2016-01-09,37,POINT(-87.4 27.7)
2016-01-09,66,POINT(-94.8 30)
2016-01-09,49,POINT(-93.5 32.5)
2016-01-09,32,POINT(-93.1 29.6)
2016-01-09,40,POINT(-94 30.5)
2016-01-09,34,POINT(-93 33.9)
2016-01-09,29,POINT(-91.3 32.9)
2016-01-09,69,POINT(-94.1 30.3)
2016-01-09,25,POINT(-92.4 28.4)
2016-01-09,27,POINT(-87.5 27.6)
2016-01-09,34,POINT(-83.3 26.6)
2016-01-09,40,POINT(-93.3 30.6)
2016-01-09,39,POINT(-82 26.6)
2016-01-09,37,POINT(-94.1 31.8)
2016-01-09,31,POINT(-85 26.4)
2016-01-09,37,POINT(-93.1 28.6)
2016-01-09,24,POINT(-92.7 30.9)
2016-01-09,33,POINT(-92.8 29.4)
2016-01-09,28,POINT(-88.8 28.5)
2016-01-09,36,POINT(-93.5 32.3)
2016-01-09,29,POINT(-86.9 27.3)
2016-01-09,30,POINT(-92.9 34.1)
2016-01-09,32,POINT(-93.8 29.2)
2016-01-09,75,POINT(-93.8 29.9)
2016-01-09,44,POINT(-92.9 30.8)
2016-01-09,26,POINT(-94.9 28.9)
2016-01-09,71,POINT(-93.7 30.5)
2016-01-09,27,POINT(-93.7 28.7)
2016-01-09,27,POINT(-94.8 31)
2016-01-09,34,POINT(-93.4 30.2)
2016-01-09,27,POINT(-94.6 29)
2016-01-09,42,POINT(-82.2 26.6)
2016-01-09,35,POINT(-92.3 31.1)
2016-01-09,34,POINT(-91.3 28.7)
2016-01-09,50,POINT(-93.5 29.5)
2016-01-09,42,POINT(-93.7 29.2)
2016-01-09,36,POINT(-94.2 29.3)
2016-01-09,29,POINT(-93.3 29.2)
2016-01-09,36,POINT(-93.7 30.1)
2016-01-09,25,POINT(-94.3 28.5)
2016-01-09,29,POINT(-84.8 28.1)
2016-01-09,27,POINT(-93.2 30.2)
2016-01-09,38,POINT(-91.8 28.6)
2016-01-09,42,POINT(-93.5 30.6)
2016-01-09,42,POINT(-92.2 29.9)
2016-01-09,27,POINT(-92.9 28.6)
2016-01-09,24,POINT(-86.1 29.1)
2016-01-09,35,POINT(-93.7 29.9)
2016-01-09,32,POINT(-90.8 33.9)
2016-01-09,24,POINT(-88.3 28.3)
2016-01-09,24,POINT(-96.3 30.5)
2016-01-09,93,POINT(-93.5 29.3)
2016-01-09,33,POINT(-94.6 30.2)
2016-01-09,38,POINT(-86.8 27.3)
2016-01-09,27,POINT(-91.1 34.7)
2016-01-09,43,POINT(-94.8 29.7)
2016-01-09,41,POINT(-94.3 31.6)
2016-01-09,24,POINT(-89.3 28.4)
2016-01-09,49,POINT(-92.8 30.5)
2016-01-09,38,POINT(-84.8 26)
2016-01-09,27,POINT(-94.9 31.1)
2016-01-09,42,POINT(-94.4 30.1)
2016-01-09,32,POINT(-92.8 30.4)
2016-01-09,27,POINT(-84.7 26)
2016-01-09,126,POINT(-93.1 29.5)
2016-01-09,30,POINT(-86.9 27.8)
2016-01-09,28,POINT(-92.1 31.3)
2016-01-09,25,POINT(-88.4 28.3)
2016-01-09,48,POINT(-93.6 30.5)
2016-01-09,75,POINT(-92.9 29.5)
2016-01-09,44,POINT(-93.9 30.4)
2016-01-09,49,POINT(-94.2 31.7)
2016-01-09,26,POINT(-94 29.1)
2016-01-09,42,POINT(-93.2 29.1)
2016-01-09,37,POINT(-92.8 30.9)
2016-01-09,58,POINT(-93.7 29.4)
2016-01-09,34,POINT(-91.5 32.8)
2016-01-09,42,POINT(-94.1 30.2)
2016-01-09,35,POINT(-92.2 28.5)
2016-01-09,26,POINT(-89 28.5)
2016-01-09,40,POINT(-87.8 28.3)
2016-01-09,30,POINT(-95.1 29.9)
2016-01-09,54,POINT(-92.6 29.7)
2016-01-09,35,POINT(-94 31.9)
2016-01-09,54,POINT(-92.9 29.6)
2016-01-09,60,POINT(-91.3 28.6)
2016-01-09,34,POINT(-85.3 28)
2016-01-09,34,POINT(-94.8 30.9)
2016-01-09,30,POINT(-95.5 30.8)
2016-01-09,42,POINT(-93.2 29.5)
2016-01-09,37,POINT(-93.1 33.8)
2016-01-09,26,POINT(-87.6 27)
2016-01-09,25,POINT(-84.1 26.4)
2016-01-09,38,POINT(-94.6 30)
2016-01-09,44,POINT(-92.7 30.6)
2016-01-09,108,POINT(-93.8 29.3)
2016-01-09,29,POINT(-85.3 26.4)
2016-01-09,85,POINT(-93.5 29.4)
2016-01-09,27,POINT(-83.9 27.5)
2016-01-09,24,POINT(-93.5 28.5)
2016-01-09,32,POINT(-93.9 29.1)
2016-01-09,42,POINT(-92.3 29.5)
2016-01-09,44,POINT(-93.2 30.9)
2016-01-09,24,POINT(-91.8 30.2)
2016-01-09,35,POINT(-92.6 28.6)
2016-01-09,27,POINT(-93.1 32.6)
2016-01-09,65,POINT(-95.4 30.7)
2016-01-09,75,POINT(-95.3 30.7)
2016-01-09,27,POINT(-90.6 34.4)
2016-01-09,49,POINT(-92.2 28.7)
2016-01-09,30,POINT(-92.9 29.4)
2016-01-10,35,POINT(-78.6 27.7)
2016-01-10,76,POINT(-78.5 27.6)
2016-01-10,88,POINT(-79.4 27.7)
2016-01-10,34,POINT(-78.3 27.7)
2016-01-10,39,POINT(-79 26.4)
2016-01-10,45,POINT(-78.5 27.7)
2016-01-10,37,POINT(-79.2 27.7)
2016-01-10,38,POINT(-79.3 27.6)
2016-01-10,65,POINT(-79.5 27.7)
2016-01-10,84,POINT(-79.5 27.6)
2016-01-10,38,POINT(-74.7 34)
2016-01-10,27,POINT(-70.6 36.3)
2016-01-10,43,POINT(-79 27.7)
2016-01-10,46,POINT(-78.4 27.7)
2016-01-10,24,POINT(-79.2 26.5)
2016-01-10,24,POINT(-85.9 23.8)
2016-01-10,35,POINT(-79.1 27.7)
2016-01-10,78,POINT(-79.3 27.7)
2016-01-10,34,POINT(-78.7 27.7)
2016-01-10,35,POINT(-79.8 27.5)
2016-01-10,40,POINT(-79.6 27.7)
2016-01-10,29,POINT(-86.1 23.6)
2016-01-10,58,POINT(-78.6 27.6)
2016-01-10,53,POINT(-78.7 27.6)
2016-01-10,118,POINT(-79.6 27.6)
2016-01-10,37,POINT(-78.9 27.7)
2016-01-10,41,POINT(-79.8 27.6)
2016-01-10,52,POINT(-78.9 27.6)
2016-01-10,26,POINT(-74.6 34)
2016-01-10,30,POINT(-86 23.7)
2016-01-10,112,POINT(-79.7 27.6)
2016-01-10,24,POINT(-79 27.6)
